"","negative_206.jpg","negative_2095.jpg","negative_2122.jpg","negative_214.jpg","negative_216.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2750.jpg","negative_3180.jpg","negative_3280.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9421.jpg","negative_9440.jpg","negative_9600.jpg","negative_b7.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L08.bmp","negative_MF2.jpg","negative_T1.jpg"
"negative_206.jpg",0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,1,1,0,0,0.5,0,1,0,0,1,0
"negative_2095.jpg",0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,1,0.333333333333333,1,1,0.5,1,0,0,0,1,1,0
"negative_2122.jpg",0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0
"negative_214.jpg",0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"negative_228.jpg",0,0,0,1,0,0,0.5,0.333333333333333,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0
"negative_2410.bmp",0,1,0.666666666666667,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"negative_251.jpg",1,0.5,0,0,0,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0.5,0,1,0,0,0,0.5,1,0,0,0,0
"negative_2750.jpg",0,0.5,0.333333333333333,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_3180.jpg",0.5,0,0,1,0,1,0,0.333333333333333,1,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"negative_3280.jpg",0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0,0,1,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0.5,0,1,0.5,0,0,0
"negative_8231.jpg",0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0.25,0,0,0
"negative_9041.jpg",1,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,1,0
"negative_9190.jpg",1,1,0,0.666666666666667,0,0,0,1,0,0,1,0,0.666666666666667,0,1,0,0,0,0.25,0,0,0,0,0,0
"negative_9421.jpg",0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333333333,1,1,1,0.5
"negative_9440.jpg",0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1
"negative_9600.jpg",0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,1,0,0,1,0,0,1,0,0
"negative_b7.jpg",0,0,1,0,0,1,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"negative_FP3.jpg",1,0,0,0,1,0,1,1,0,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0.5,1,0
"negative_I1.jpg",0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0.25,0.5,0,1,0,0,1,0,0,0.5,0,0
"negative_L08.bmp",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0.5,0,0,0.5
"negative_MF2.jpg",1,1,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"negative_T1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,0,0
