"","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_2458.jpg","negative_251.jpg","negative_2750.jpg","negative_6211.jpg","negative_6212.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L04.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_2122.jpg",0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"negative_215.jpg",0,0,0,0,0.5,0,0.5,0,0.666666666666667,1,1,0,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0.333333333333333,0
"negative_2458.jpg",0.5,0,0,0,0,0,0.333333333333333,0.5,1,1,0,0,0.5,1,0.5,0,0,1,0,1,0,0,0,0,1
"negative_251.jpg",0,0,0.5,0,0,1,0,0.5,0,0.333333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"negative_2750.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,1,0,0,0,0.5
"negative_6211.jpg",0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
"negative_6212.jpg",0,0,0,0.5,0.5,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0.8
"negative_6510.jpg",0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.666666666666667,1
"negative_65701_1.jpg",1,0,1,1,0.333333333333333,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5
"negative_6821.jpg",0,0,1,0,0,0,0,0.5,0,0.666666666666667,0,0,0.333333333333333,1,0.25,1,0,0,0,0.5,1,0,0,0,0
"negative_9041.jpg",0,0.5,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
"negative_9190.jpg",0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"negative_9440.jpg",0,0,0,1,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,1
"negative_9530.bmp",1,0,0,0.5,0,0.25,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"negative_9600.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_DF1.jpg",0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,0,0
"negative_DP3.jpg",0,0,0,1,1,1,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"negative_FP3.jpg",0,0,0.333333333333333,0,0,1,0,0,1,0.5,1,0.5,0,1,0,0,0,0,0.666666666666667,0,0,1,1,0,0.5
"negative_L04.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"negative_L29.bmp",1,0,1,0,0,0,1,0,1,0,0,0,0,0.5,0,1,0,0,0.666666666666667,0,1,0,0,0,0
"negative_MF2.jpg",0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_SF4.jpg",1,0,0,1,1,0.5,0,0.8,1,0.5,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0
