StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,paq_ddf_neg_1,paq_dif_neg_2,paq_eot_gen_3,paq_ddf_pos_4,paq_dif_pos_5,paq_eot_gen_6,paq_timer_1_First Click,paq_timer_1_Last Click,paq_timer_1_Page Submit,paq_timer_1_Click Count,paq_ddf_neg_7,paq_eot_gen_9,paq_ddf_pos_10,paq_dif_pos_11,paq_eot_gen_12,paq_timer_2_First Click,paq_timer_2_Last Click,paq_timer_2_Page Submit,paq_timer_2_Click Count,paq_ddf_neg_13,paq_dif_neg_14,paq_eot_gen_15,paq_ddf_pos_16,paq_dif_pos_17,ac_paq,paq_eot_gen_18,paq_timer_3_First Click,paq_timer_3_Last Click,paq_timer_3_Page Submit,paq_timer_3_Click Count,paq_ddf_neg_19,paq_dif_neg_20,paq_eot_gen_21,paq_ddf_pos_22,paq_dif_pos_23,paq_eot_gen_24,paq_timer_4_First Click,paq_timer_4_Last Click,paq_timer_4_Page Submit,paq_timer_4_Click Count,pmerq_reappraise_eng_1,pmerq_sitmod_dis_2,pmerq_sitsel_eng_3,pmerq_sitsel_dis_4,pmerq_5,pmerq_sitsel_dis_6,pmerq_7,pmerq_8,pmerq_sitmod_eng_9,pmerq_reappraise_eng_10,pmerq_sitmod_eng_11,pmerq_reappraise_dis_12,pmerq_13,pmerq_sitsel_eng_14,pmerq_sitmod_eng_15,pmerq_16,pmerq_17,pmerq_sitsel_dis_18,pmerq_sitmod_eng_19,pmerq_20,pmerq_21,pmerq_22,pmerq_23,pmerq_24,pmerq_sitmod_dis_25,pmerq_26,pmerq_27,pmerq_28,pmerq_29,pmerq_sitmod_eng_30,pmerq_31,pmerq_32,pmerq_sitsel_dis_33,pmerq_sitmod_dis_34,pmerq_35,pmerq_sitsel_dis_36,pmerq_37,pmerq_38,pmerq_sitmod_dis_39,pmerq_sitsel_dis_40,pmerq_41,pmerq_42,pmerq_43,pmerq_sitsel_eng_44,pmerq_45,pmerq_46,pmerq_47,pmerq_sitmod_eng_48,pmerq_49,pmerq_sitsel_eng_50,pmerq_51,pmerq_52,pmerq_53,pmerq_54,pmerq_sitmod_dis_55,pmerq_56,pmerq_57,ac_pmerq,pmerq_timer_First Click,pmerq_timer_Last Click,pmerq_timer_Page Submit,pmerq_timer_Click Count,swls_1,swls_2,swls_3,swls_4,swls_5,swls_timer_First Click,swls_timer_Last Click,swls_timer_Page Submit,swls_timer_Click Count,fss_1,fss_2,fss_3,fss_4,fss_5,fss_6,fss_7,fss_8,fss_9,fss_timer_First Click,fss_timer_Last Click,fss_timer_Page Submit,fss_timer_Click Count,gad_1,gad_2,gad_3,gad_4,gad_5,gad_6,gad_7,gad_timer_First Click,gad_timer_Last Click,gad_timer_Page Submit,gad_timer_Click Count,phq_1,phq_2,phq_3,phq_4,phq_5,phq_6,phq_7,phq_8,phq_timer_First Click,phq_timer_Last Click,phq_timer_Page Submit,phq_timer_Click Count,tas_dif_1,tas_ddf_2,tas_dif_3,tas_ddf_4_r,tas_eot_5_r,tas_timer_1_First Click,tas_timer_1_Last Click,tas_timer_1_Page Submit,tas_timer_1_Click Count,tas_dif_6,tas_dif_7,tas_eot_8,tas_dif_9,tas_eot_10_r,tas_timer_2_First Click,tas_timer_2_Last Click,tas_timer_2_Page Submit,tas_timer_2_Click Count,tas_ddf_11,tas_ddf_12,tas_dif_13,tas_dif_14,ac_tas,tas_eot_15,tas_timer_3_First Click,tas_timer_3_Last Click,tas_timer_3_Page Submit,tas_timer_3_Click Count,tas_eot_16,tas_ddf_17,tas_eot_18_r,tas_eot_19_r,tas_eot_20,tas_timer_4_First Click,tas_timer_4_Last Click,tas_timer_4_Page Submit,tas_timer_4_Click Count,erq_reap_fr_1,erq_supp_fr_2,erq_reap_fr_3,erq_supp_fr_4,erq_reap_fr_5,erq_supp_fr_6,erq_reap_fr_7,erq_reap_fr_8,erq_supp_fr_9,erq_reap_fr_10,gender,gender_3_TEXT,age,academic,academic_7_TEXT,race,race_1_TEXT,race_2_TEXT,race_16_TEXT,race_3_TEXT,race_13_TEXT,race_14_TEXT,race_15_TEXT,pid,pool,qualtrics_name,ac_pmerq_pass,ac_tas_pass,ac_paq_pass,ac_passes,rawdatafile,paq,paq_dif,paq_ddf,paq_eot,paq_neg,paq_pos,paq_dif_neg,paq_ddf_neg,paq_dif_pos,paq_ddf_pos,tas,tas_dif,tas_ddf,tas_eot,erq_reap_fr,erq_supp_fr,gad,phq,fss,swls,pmerq_sitsel_eng,pmerq_sitmod_eng,pmerq_sitsel_dis,pmerq_sitmod_dis
2021-06-30 14:42:56,2021-06-30 14:42:59,Survey Preview,NA,100,3,True,2021-06-30 14:43:00,R_302Wpx9xAdklyRr,37.423004150390625,-122.1638946533203125,preview,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01 14:18:50,2021-07-01 14:22:25,IP Address,173.244.209.80,100,214,True,2021-07-01 14:22:25,R_ux38NEJYPAPJ8pX,40.7592010498046875,-111.8874969482421875,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,test,NA,NA,NA,NA,NA,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-02 17:46:29,2021-07-02 19:36:54,IP Address,128.12.122.209,100,6624,True,2021-07-02 19:36:55,R_2uCFVUxl9KsQQNY,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,1,2,1,1,2,4.046,18.438,20.022,6,2,2,2,2,3,2.469,14.01,15.249,6,2,2,3,2,2,1,2,NA,NA,NA,NA,2,2,2,2,2,3,4.268,14.686,16.306,6,5,4,6,2,4,4,4,5,6,6,6,2,2,6,6,6,1,1,6,2,6,2,5,6,2,2,4,1,1,6,2,1,1,1,6,1,1,6,3,2,2,1,6,6,1,1,4,5,4,2,6,4,6,6,5,3,2,Agree,NA,NA,NA,NA,6,6,6,6,5,NA,NA,NA,NA,7,2,2,5,5,2,5,5,2,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,NA,NA,NA,NA,2,2,1,2,2,4.085,19.717,21.209,5,2,1,1,3,1,5.719,20.598,21.347,5,2,3,2,1,1,2,5.148,33.216,34.171,6,2,1,1,1,1,3.042,19.581,91.246,7,3,2,5,1,7,2,6,6,2,6,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9998,test,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,45,12,14,19,12,14,5,7,7,7,33,12,10,11,33,7,7,9,35,29,20,35,11,15
2021-07-02 20:02:02,2021-07-02 20:17:02,IP Address,174.194.194.38,100,900,True,2021-07-02 20:17:03,R_DJ3rSGrkZm6wIk9,37.704498291015625,-122.0742034912109375,anonymous,EN,1,2,1,2,2,2,3,6.95,35.906,36.745,15,5,1,1,5,1,4.971,41.669,42.95,24,5,2,1,2,2,1,1,NA,NA,NA,NA,2,2,1,1,4,1,10.005,34.231,34.727,23,5,2,2,5,4,6,5,5,5,5,6,2,5,3,5,5,2,2,5,3,6,1,6,6,2,2,2,3,5,5,2,5,3,2,6,2,4,6,3,2,4,2,6,6,2,1,4,2,4,4,6,6,6,6,6,3,1,Strongly agree,NA,NA,NA,NA,7,7,7,7,7,NA,NA,NA,NA,7,1,1,7,6,5,7,6,5,NA,NA,NA,NA,2,2,2,2,1,2,1,NA,NA,NA,NA,1,1,1,2,1,2,1,1,NA,NA,NA,NA,2,2,1,2,1,3.098,17.073,17.512,13,1,5,1,2,1,2.007,20.59,21.167,12,4,1,4,2,1,1,3.655,29.127,29.675,14,1,1,1,1,2,2.365,18.648,19.1,14,6,2,3,1,6,2,6,6,5,6,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9998,test,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,49,18,20,11,19,19,5,14,13,6,36,17,10,9,33,10,12,10,45,35,15,28,20,15
2021-07-06 13:40:51,2021-07-06 14:01:41,IP Address,73.235.50.203,100,1249,True,2021-07-06 14:01:42,R_1InImndTCzTwJRc,36.861297607421875,-119.76689910888671875,anonymous,EN,1,2,2,3,2,3,2,17.575,38.134,39.033,10,3,1,1,2,1,3.259,17.074,18.14,7,5,5,2,2,2,1,1,2.749,28.778,30.627,10,2,3,1,1,1,1,4.372,18.875,19.85,10,4,3,2,4,5,4,5,5,5,4,6,2,3,3,4,4,2,2,5,2,4,2,4,6,2,2,4,4,3,5,2,2,2,1,3,4,2,4,1,4,2,2,3,4,2,3,2,4,4,3,4,3,4,3,5,2,2,Agree,10.922,510.472,568.398,71,3,4,5,4,2,9.312,26.656,27.511,6,6,4,3,6,3,5,6,3,5,3.716,39.766,40.501,11,2,3,3,2,1,2,1,3.585,23.717,28.953,7,1,1,2,2,2,1,2,1,47.248,73.763,77.228,10,4,3,2,2,2,7.134,29.904,30.786,6,2,1,2,2,2,6.705,26.305,27.361,6,1,1,1,1,1,3,3.76,53.006,54.615,8,2,2,2,2,2,5.241,171.187,172.117,7,5,2,5,1,5,1,5,5,1,5,NA,NA,22,NA,NA,"white,black or african american",NA,NA,NA,NA,NA,NA,NA,96130,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,48,18,18,12,22,14,10,12,8,6,39,13,9,17,30,5,14,12,41,18,12,29,20,12
2021-07-06 14:28:16,2021-07-06 14:41:17,IP Address,76.102.0.169,100,780,True,2021-07-06 14:41:18,R_1CD9BBeNxKMorv5,37.347900390625,-122.03509521484375,anonymous,EN,1,5,3,2,6,2,2,5.948,24.154,25.36,6,2,2,2,2,2,10.878,24.146,25.464,9,5,2,3,2,2,1,2,4.181,32.972,34.193,9,5,2,2,2,2,2,9.043,26.636,27.637,8,5,3,5,4,5,5,4,5,5,3,4,5,5,3,5,3,2,3,4,3,5,3,6,5,3,4,2,3,4,3,2,4,3,5,3,2,4,3,2,4,2,2,2,4,3,2,4,3,4,3,2,3,3,2,3,5,3,Somewhat agree,5.479,280.663,283.001,63,3,4,3,6,2,3.659,15.019,16.095,5,6,2,3,2,2,2,5,2,2,8.252,36.439,38.113,12,1,1,2,1,1,1,1,2.832,20.51,21.784,9,1,1,2,1,1,1,1,1,5.406,60.052,60.301,10,2,2,1,1,3,4.318,43.987,45.16,6,2,2,2,1,1,2.288,16.385,17.646,6,2,1,2,2,1,1,16.485,43.426,44.61,10,4,1,1,1,4,4.856,19.268,20.414,7,2,4,6,2,6,2,5,6,2,6,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96109,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,61,15,29,17,24,20,7,17,8,12,36,12,7,17,31,10,8,9,26,18,15,24,21,16
2021-07-06 14:45:27,2021-07-06 14:58:41,IP Address,192.153.236.17,100,793,True,2021-07-06 14:58:41,R_323Y6xswKZSCWCM,37.373992919921875,-121.8594970703125,anonymous,EN,1,2,2,6,2,2,5,4.806,22.536,25.349,6,2,2,2,2,6,2.404,83.145,83.904,7,2,2,6,2,2,1,2,2.066,97.627,98.324,10,2,2,2,2,3,2,1.968,20.054,20.823,7,4,5,4,4,4,5,4,4,4,4,4,3,5,3,5,4,5,4,4,2,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,5,2,5,5,Agree,17.424,263.748,267.606,61,2,2,2,2,2,3.565,15.343,16.682,7,6,3,3,6,5,1,6,5,5,2.307,33.001,33.954,13,3,3,2,4,3,2,1,2.003,27.745,31.637,8,2,3,4,3,3,3,4,2,5.017,27.739,28.582,14,2,2,1,4,2,4.302,18.698,19.503,7,2,2,2,3,2,1.936,13.451,14.236,6,3,4,4,2,1,4,2.21,30.924,31.323,7,2,3,2,2,2,3.304,17.081,17.862,5,7,6,6,5,5,6,6,6,3,3,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94570,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,62,15,16,31,14,17,6,8,9,8,50,16,16,18,33,20,18,24,40,10,15,25,28,22
2021-07-06 16:35:41,2021-07-06 17:05:35,IP Address,73.70.86.162,100,1793,True,2021-07-06 17:05:35,R_2fEaNopC6R9M2Mv,38.247802734375,-122.61920166015625,anonymous,EN,1,5,2,6,3,5,4,1.962,73.644,74.529,16,3,5,1,1,3,0.284,38.016,38.909,14,6,6,3,5,2,1,2,50.11,86.518,87.515,18,5,5,1,3,2,2,27.784,61.675,62.499,11,4,4,4,5,6,5,2,1,5,5,5,3,2,4,5,2,6,4,5,5,5,6,5,6,5,6,5,5,5,2,5,5,5,4,6,5,5,5,5,5,2,2,4,2,4,2,4,5,4,5,2,4,5,4,6,5,2,Strongly agree,1.1,1044.91,1046.808,113,6,6,6,6,7,0.642,19.442,20.425,10,7,5,1,6,2,2,3,1,2,14.415,68.83,69.69,18,1,1,1,1,2,1,1,0.494,33.425,34.964,14,2,1,1,2,2,1,1,1,0.271,49.277,51.011,15,4,4,3,3,4,4.186,23.395,24.27,12,2,3,2,4,1,3.663,22.136,22.978,8,4,3,3,4,1,2,3.578,38.12,39.066,12,4,1,1,1,2,5.793,25.74,26.805,9,5,2,7,2,5,5,6,5,3,6,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96679,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,80,23,31,26,32,22,13,19,10,12,55,23,15,17,34,12,8,11,29,31,15,27,29,24
2021-07-06 17:05:18,2021-07-06 17:13:27,IP Address,24.6.47.227,100,488,True,2021-07-06 17:13:27,R_1lsHzhvVL5w85sE,37.50970458984375,-121.902099609375,anonymous,EN,1,4,4,5,6,5,6,1.636,9.681,11.528,6,3,7,5,4,6,1.266,5.429,7.001,6,4,4,4,6,4,1,4,2.361,21.527,23.255,11,3,5,6,6,4,5,2.836,12.942,13.958,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,Strongly disagree,0.749,236.763,237.858,60,2,2,2,7,1,1.714,6.188,14.169,6,4,3,2,2,3,3,3,3,3,1.381,10.108,11.008,9,3,1,2,3,1,3,1,0.655,5.628,20.872,9,1,1,3,1,3,2,2,2,3.742,9.504,20.405,8,4,5,1,4,2,0.549,2.316,5.915,5,2,5,1,3,5,0.285,2.58,7.271,6,3,2,2,2,1,2,0.208,21.505,27.834,8,3,1,5,4,2,2.67,4.695,14.089,5,3,4,4,4,4,4,3,3,3,2,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91741,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,110,30,37,43,27,40,13,14,17,23,58,19,15,24,19,15,14,15,26,14,4,6,6,5
2021-07-06 17:13:57,2021-07-06 17:39:59,IP Address,73.202.200.80,100,1561,True,2021-07-06 17:39:59,R_2YmntooWWseWp0G,37.3209075927734375,-121.91259765625,anonymous,EN,1,5,2,2,2,2,1,8.256,36.301,38.184,12,3,2,2,1,1,6.993,37.882,40.973,15,2,2,4,2,2,1,1,16.228,71.014,73.296,16,3,5,1,2,1,1,9.658,51.233,53.295,12,5,4,4,3,6,2,5,3,4,5,5,4,5,4,2,5,4,4,4,5,5,3,6,4,4,5,5,5,4,4,4,5,4,6,6,4,5,6,5,6,5,5,6,4,5,2,3,5,4,5,5,5,6,5,5,4,3,Agree,21.962,521.269,522.611,119,5,6,7,6,3,6.008,27.875,30.184,10,5,2,1,2,2,4,4,5,3,7.396,95.981,135.669,22,2,1,2,1,1,1,3,9.811,71.34,73.592,15,2,1,3,1,1,2,1,1,24.054,135.458,140.369,17,1,1,1,1,2,20.248,63.345,67.507,9,2,1,3,1,1,7.775,41.564,44.89,8,2,3,1,1,1,2,7.668,71.679,83.869,13,4,1,1,1,4,9.593,51.666,57.698,12,7,3,6,2,6,2,5,5,3,7,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96124,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/emo_similarity_network_presurvey_sum2021/2021-09-22/emo_similarity_network_presurvey_sum2021.csv,49,15,21,13,22,14,9,13,6,8,34,8,8,18,36,10,11,12,28,27,17,24,23,24
